key	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18	y19	y20	y21	y22	y23	y24	y25	y26	y27	y28	y29	y30	y31	y32	y33	y34	y35	y36	y37	y38	y39	y40	y41	y42	y43	y44	y45	y46	y47	y48	y49	y50	y51	y52	y53
11	0.561349	0.241437	0.358993	0.864639	0.650035	0.646541	0.445569	0.110408	0.383932	0.002153	0.434547	0.362201	0.804666	0.176892	0.840180	0.967760	0.512234	0.126028	0.687036	0.129671	0.869263	0.728755	0.772336	0.076953	0.496934	0.185273	0.065298	0.654329	0.205684	0.564914	0.969442	0.165853	0.320936	0.803994	0.587118	0.776861	0.712725	0.687922	0.534300	0.342880	0.467630	0.144603	0.070433	0.661398	0.606236	0.105933	0.043236	0.238234	0.101637	0.276589	0.097973	0.155703	0.293141	0.096676	0.757245	0.411722	0.627141	0.420983	0.302790	0.021231	0.955165	0.193501	0.839291	0.092336	0.684572	0.330429	0.875271	0.706178	0.205358	0.754493	0.168812	0.210443	0.245134	0.482036	0.205357	0.718123	0.773498	0.182636	0.708371	0.043178	0.334198	0.784929	0.261198	0.331698	0.687253	0.231604	0.001668	0.893450	0.664182	0.024695	0.256492	0.970423	0.389424	0.723827	0.292310	0.305838	0.803453	0.208166	0.596072	0.036002	0.015558	0.822861	0.924436	0.156467	0.825763	0.648234
12	0.609310	0.627014	0.149832	0.522507	0.646708	0.956624	0.953947	0.427191	0.106543	0.078611	0.979797	0.190966	0.527064	0.073633	0.737168	0.349666	0.734652	0.129813	0.335375	0.225785	0.508949	0.912068	0.394109	0.999376	0.647623	0.446324	0.427012	0.904177	0.954263	0.014119	0.678206	0.561940	0.681615	0.334888	0.930951	0.324878	0.146047	0.642156	0.755983	0.320516	0.518933	0.274873	0.841704	0.492089	0.119592	0.142188	0.676872	0.069008	0.712781	0.470165	0.270395	0.034093	0.574855	0.444849	0.616643	0.081102	0.639980	0.210449	0.987669	0.908230	0.841731	0.836968	0.962725	0.383095	0.215827	0.407789	0.540715	0.864190	0.546478	0.580886	0.553461	0.643749	0.323194	0.815917	0.281698	0.779047	0.915084	0.568154	0.262299	0.242294	0.625877	0.154811	0.242810	0.227719	0.162774	0.446244	0.385369	0.507776	0.500275	0.060722	0.889607	0.532582	0.841222	0.094637	0.860547	0.081680	0.573527	0.484124	0.239836	0.794394	0.909315	0.457536	0.142475	0.556524	0.790789	0.635486
13	0.277217	0.217313	0.725245	0.380078	0.057269	0.294796	0.868961	0.631280	0.644199	0.977898	0.216302	0.674157	0.978341	0.093499	0.309390	0.302173	0.086066	0.627057	0.961224	0.303884	0.380492	0.190781	0.965668	0.493093	0.229728	0.367032	0.628407	0.909043	0.853749	0.604060	0.476826	0.786415	0.769273	0.729665	0.696474	0.913736	0.715735	0.855850	0.071842	0.462759	0.398816	0.439953	0.798512	0.349268	0.711422	0.080390	0.255647	0.306759	0.600313	0.723053	0.021759	0.811573	0.757928	0.366103	0.059068	0.917923	0.560541	0.675467	0.886286	0.812760	0.542126	0.323273	0.122999	0.784701	0.570744	0.838010	0.745052	0.127286	0.734888	0.362771	0.547686	0.168458	0.471982	0.985081	0.102347	0.882690	0.784734	0.305180	0.128036	0.363335	0.502918	0.364989	0.329970	0.066254	0.426586	0.537473	0.627575	0.249940	0.890142	0.828276	0.341543	0.389595	0.021090	0.740040	0.318148	0.356142	0.722180	0.819175	0.427438	0.533971	0.478031	0.532271	0.664036	0.024059	0.192772	0.622663
14	0.413473	0.953115	0.701797	0.600801	0.649751	0.978261	0.003409	0.546133	0.336032	0.068605	0.644593	0.104531	0.119708	0.306643	0.813845	0.075206	0.441674	0.046009	0.698050	0.392603	0.392236	0.243523	0.311346	0.392947	0.768186	0.719996	0.381124	0.383522	0.093315	0.651433	0.477651	0.359380	0.135062	0.341196	0.868250	0.179304	0.079524	0.123813	0.632440	0.810017	0.181538	0.329074	0.140877	0.643940	0.091127	0.944471	0.315425	0.753919	0.226131	0.808059	0.172624	0.409620	0.677748	0.240794	0.664630	0.930336	0.671029	0.487112	0.083479	0.109449	0.551683	0.567379	0.075089	0.092320	0.456464	0.032553	0.253043	0.597112	0.020026	0.542783	0.850407	0.393392	0.043720	0.201300	0.040166	0.175476	0.177601	0.126432	0.286239	0.500357	0.421175	0.026959	0.859966	0.045996	0.407660	0.656894	0.924927	0.316791	0.899684	0.653205	0.834028	0.850124	0.390482	0.658543	0.919829	0.114764	0.438867	0.076405	0.865016	0.503211	0.874677	0.754309	0.762299	0.148056	0.334462	0.547003
15	0.291955	0.375672	0.648505	0.618480	0.486275	0.892744	0.502568	0.714548	0.635644	0.809753	0.039749	0.036048	0.417744	0.274973	0.371684	0.994251	0.587576	0.103287	0.275200	0.390984	0.567389	0.618912	0.345803	0.194619	0.905435	0.091125	0.125655	0.085604	0.291482	0.071368	0.002395	0.233647	0.066443	0.669966	0.526768	0.822774	0.866155	0.849156	0.291938	0.666810	0.573174	0.361213	0.856225	0.731627	0.554595	0.205550	0.764786	0.005473	0.470135	0.914135	0.742406	0.014157	0.401820	0.377250	0.035650	0.297959	0.922370	0.442557	0.407644	0.805472	0.868582	0.877044	0.094179	0.979455	0.341289	0.509281	0.348768	0.777820	0.711783	0.886146	0.704353	0.734101	0.643092	0.352359	0.351475	0.541794	0.647784	0.942304	0.415275	0.722711	0.983511	0.954447	0.791097	0.979886	0.083451	0.739534	0.230977	0.877038	0.131106	0.933837	0.666850	0.919895	0.130377	0.442250	0.870877	0.015173	0.855537	0.005988	0.984562	0.382927	0.233765	0.848199	0.479504	0.643618	0.820899	0.288384
16	0.334284	0.599814	0.680478	0.067110	0.069294	0.065989	0.000932	0.560957	0.903300	0.586199	0.142855	0.223575	0.969599	0.881828	0.242736	0.859234	0.623110	0.462840	0.788662	0.667273	0.921437	0.712553	0.987091	0.305115	0.068968	0.294141	0.158847	0.817999	0.947320	0.700978	0.816440	0.681902	0.087166	0.533159	0.481548	0.091592	0.710501	0.392503	0.987709	0.975476	0.239029	0.720800	0.729727	0.521450	0.419453	0.645441	0.142214	0.580104	0.492233	0.339236	0.691733	0.085806	0.587049	0.473498	0.068504	0.405261	0.754208	0.922930	0.415306	0.370920	0.879180	0.022377	0.431738	0.501402	0.560770	0.759684	0.276510	0.347424	0.770931	0.010541	0.978197	0.746464	0.163285	0.428928	0.877304	0.083364	0.584292	0.161028	0.663372	0.115371	0.325446	0.584055	0.119823	0.859621	0.223320	0.770348	0.300757	0.115118	0.427183	0.655405	0.875168	0.630098	0.379022	0.504729	0.572432	0.567547	0.818052	0.195514	0.162560	0.590758	0.572636	0.475858	0.711377	0.375549	0.896471	0.784587
17	0.025127	0.431224	0.499611	0.602013	0.767621	0.534016	0.297423	0.930577	0.814023	0.898383	0.347300	0.985409	0.717230	0.792124	0.990013	0.335750	0.216026	0.641106	0.894805	0.280951	0.123039	0.621395	0.997492	0.960943	0.589067	0.069333	0.905466	0.170057	0.480985	0.955966	0.884346	0.051751	0.257008	0.567169	0.348996	0.132000	0.869965	0.475692	0.883005	0.935883	0.769431	0.622965	0.450171	0.562961	0.166711	0.698046	0.628936	0.262064	0.708240	0.911152	0.837545	0.499210	0.573027	0.984107	0.016941	0.744955	0.024554	0.990917	0.759984	0.558601	0.620876	0.546607	0.669074	0.614515	0.190542	0.335958	0.154151	0.730103	0.629716	0.743798	0.316679	0.564957	0.682221	0.537902	0.006655	0.761092	0.845088	0.708518	0.302849	0.404971	0.163238	0.716736	0.022283	0.257679	0.467829	0.636194	0.568181	0.441135	0.006020	0.398357	0.615835	0.880371	0.898577	0.682627	0.911976	0.859827	0.814709	0.334494	0.896833	0.136264	0.124073	0.704009	0.243504	0.287572	0.221531	0.950413
18	0.780350	0.320589	0.673424	0.095911	0.649227	0.164216	0.720830	0.218832	0.877863	0.958959	0.535432	0.048793	0.086263	0.823193	0.037816	0.358712	0.555262	0.127801	0.030343	0.025523	0.210582	0.479475	0.292916	0.681918	0.362253	0.721761	0.865232	0.769749	0.493237	0.314916	0.309243	0.247711	0.146029	0.452350	0.445426	0.371567	0.444135	0.875724	0.347433	0.160983	0.234702	0.575464	0.437313	0.747622	0.281004	0.574501	0.232002	0.290116	0.285583	0.945447	0.673597	0.107046	0.330146	0.336657	0.957201	0.064669	0.199013	0.359512	0.483833	0.674005	0.545647	0.624322	0.987634	0.625243	0.050378	0.019833	0.475838	0.415549	0.964202	0.609023	0.891706	0.035459	0.446519	0.314328	0.767140	0.773799	0.072146	0.789033	0.759247	0.930281	0.261041	0.363253	0.650132	0.237979	0.751020	0.121882	0.446797	0.603501	0.722516	0.326815	0.754393	0.748057	0.087709	0.504571	0.412466	0.453282	0.797413	0.369652	0.668295	0.636108	0.747950	0.926835	0.780140	0.632642	0.546568	0.781772
19	0.743163	0.377550	0.766467	0.175195	0.998624	0.327600	0.969174	0.984440	0.798802	0.517203	0.855605	0.750070	0.329765	0.265855	0.215768	0.253493	0.432371	0.247530	0.509804	0.362658	0.554234	0.696942	0.691741	0.319773	0.517498	0.445184	0.357417	0.571416	0.789465	0.232800	0.385205	0.709294	0.009072	0.014901	0.040524	0.383377	0.371645	0.097068	0.392803	0.348389	0.772913	0.317547	0.649032	0.836689	0.079290	0.587681	0.942111	0.943974	0.633253	0.098430	0.632493	0.824350	0.384218	0.799470	0.594428	0.560501	0.969068	0.316813	0.793253	0.575288	0.579706	0.083497	0.004050	0.286088	0.683144	0.722751	0.978212	0.403684	0.287630	0.422429	0.143627	0.248628	0.160798	0.319658	0.963935	0.882675	0.944711	0.776623	0.416608	0.617534	0.966209	0.427425	0.507805	0.351369	0.888593	0.670381	0.469565	0.438056	0.030964	0.738208	0.993828	0.290225	0.236658	0.937430	0.497695	0.445333	0.649225	0.105744	0.548826	0.893196	0.067674	0.628679	0.666340	0.266556	0.297589	0.477058
20	0.883643	0.244566	0.966158	0.072651	0.796293	0.455600	0.667207	0.531601	0.041668	0.784201	0.357365	0.958737	0.330523	0.515007	0.529285	0.512233	0.773518	0.133891	0.588861	0.060358	0.526670	0.359098	0.910953	0.256613	0.784817	0.268491	0.746087	0.586063	0.287166	0.138271	0.895824	0.968604	0.632379	0.496455	0.642726	0.267011	0.731876	0.865337	0.553716	0.568253	0.118935	0.776669	0.950014	0.410915	0.714514	0.434244	0.074037	0.470103	0.291973	0.889359	0.794715	0.166393	0.973562	0.611647	0.398940	0.956564	0.220868	0.939113	0.656509	0.529535	0.853821	0.935162	0.486289	0.382685	0.968928	0.668239	0.936195	0.148323	0.395200	0.762288	0.567047	0.563029	0.094597	0.933783	0.087887	0.644092	0.398429	0.457089	0.840337	0.725389	0.221017	0.722401	0.812150	0.788387	0.393541	0.003593	0.426103	0.891839	0.877814	0.553030	0.912581	0.835827	0.432418	0.712391	0.321873	0.199754	0.206578	0.215784	0.446973	0.350420	0.729153	0.211689	0.048624	0.815634	0.609315	0.091011
21	0.334922	0.117733	0.883568	0.562263	0.993979	0.006801	0.396236	0.195462	0.457774	0.437716	0.077237	0.393101	0.212785	0.805453	0.313259	0.215575	0.694443	0.695238	0.712352	0.885667	0.491508	0.860142	0.522871	0.516670	0.509337	0.739985	0.340671	0.149011	0.683490	0.704473	0.261627	0.849698	0.741400	0.090510	0.335077	0.056965	0.493318	0.027008	0.009157	0.501043	0.207268	0.868420	0.920719	0.408789	0.130616	0.194349	0.575673	0.019846	0.979359	0.430562	0.071672	0.848311	0.231883	0.239625	0.052122	0.830147	0.842108	0.776217	0.425249	0.394893	0.477622	0.017664	0.455111	0.954646	0.028111	0.158333	0.438917	0.261731	0.721679	0.193288	0.187230	0.966321	0.670189	0.800441	0.679350	0.494382	0.999113	0.952628	0.485933	0.433843	0.004582	0.805353	0.718692	0.109041	0.033243	0.959364	0.870965	0.459980	0.090609	0.786229	0.037892	0.534848	0.194125	0.365863	0.852034	0.598572	0.659276	0.774304	0.434470	0.467575	0.465826	0.297104	0.535973	0.044464	0.924834	0.977485
22	0.481383	0.742351	0.825832	0.703886	0.606966	0.506656	0.859478	0.967728	0.212284	0.420701	0.233641	0.642134	0.851617	0.991576	0.774812	0.764161	0.204447	0.080440	0.728898	0.708077	0.118414	0.434507	0.613114	0.773489	0.933908	0.310649	0.854564	0.706212	0.403928	0.498353	0.577668	0.991368	0.323589	0.957536	0.185996	0.803519	0.547927	0.835434	0.496123	0.508158	0.642687	0.177985	0.343102	0.680244	0.141058	0.323944	0.853260	0.676814	0.089010	0.952553	0.603672	0.764668	0.761098	0.174918	0.222821	0.906643	0.181730	0.383975	0.121229	0.534252	0.470641	0.187710	0.521005	0.302696	0.780179	0.970914	0.444019	0.668422	0.759323	0.508430	0.653061	0.509969	0.946505	0.405866	0.257835	0.004762	0.000520	0.193812	0.330673	0.121009	0.999971	0.885652	0.351219	0.222087	0.115336	0.009148	0.677023	0.946338	0.731397	0.662864	0.186644	0.586952	0.915780	0.993464	0.795505	0.207451	0.099263	0.880626	0.527429	0.191364	0.602097	0.846982	0.028570	0.037718	0.634262	0.474847
23	0.748756	0.903080	0.551350	0.214121	0.702144	0.623094	0.040155	0.713511	0.045292	0.060512	0.075392	0.862173	0.284460	0.983611	0.803925	0.125630	0.528943	0.872854	0.099505	0.254991	0.748217	0.234205	0.239829	0.030527	0.723255	0.720414	0.297559	0.452492	0.832231	0.369980	0.757512	0.470728	0.617165	0.116045	0.378296	0.978676	0.659238	0.521299	0.112053	0.823365	0.873499	0.113468	0.148831	0.105363	0.643248	0.244808	0.249645	0.866442	0.605813	0.129155	0.193378	0.369485	0.680492	0.313116	0.418681	0.895774	0.846214	0.383366	0.887081	0.415803	0.600075	0.723164	0.775208	0.576404	0.753414	0.192264	0.073826	0.049509	0.038575	0.542273	0.875650	0.328707	0.847104	0.508474	0.068950	0.588809	0.818658	0.025523	0.253784	0.696482	0.311283	0.789481	0.184554	0.731362	0.663757	0.363562	0.243224	0.515783	0.313635	0.476876	0.030248	0.440998	0.123846	0.869824	0.755092	0.870693	0.806662	0.249449	0.696865	0.944533	0.528946	0.061123	0.554249	0.558740	0.027653	0.968337
24	0.640971	0.720288	0.278215	0.910897	0.683269	0.031847	0.157757	0.313314	0.941069	0.999472	0.777934	0.793417	0.013370	0.977766	0.556429	0.487054	0.457344	0.006868	0.351552	0.954682	0.958670	0.253632	0.848711	0.000504	0.466653	0.390543	0.631724	0.222656	0.193367	0.620479	0.491917	0.155669	0.474232	0.866368	0.722943	0.399065	0.953476	0.109875	0.192136	0.591420	0.261004	0.666411	0.933945	0.869348	0.082692	0.277747	0.559832	0.394958	0.756011	0.312250	0.884572	0.770365	0.516869	0.699759	0.589850	0.359385	0.991683	0.778852	0.521389	0.784560	0.071788	0.540700	0.660668	0.392684	0.010133	0.353743	0.031904	0.815680	0.757585	0.778560	0.086390	0.214728	0.818541	0.921742	0.238862	0.882686	0.608818	0.215401	0.837191	0.680287	0.272794	0.585730	0.866298	0.349032	0.127003	0.435725	0.214787	0.593810	0.197259	0.849973	0.409454	0.871961	0.488300	0.073575	0.541253	0.766607	0.200402	0.860620	0.324338	0.887229	0.925734	0.478798	0.003938	0.288937	0.680569	0.562927
25	0.277408	0.922083	0.332198	0.215056	0.368019	0.418538	0.139540	0.802503	0.100895	0.472534	0.109208	0.122617	0.799605	0.206370	0.793571	0.458004	0.392629	0.905818	0.866486	0.774327	0.876361	0.192844	0.961359	0.427174	0.624417	0.348775	0.502135	0.430040	0.648308	0.234708	0.334501	0.999277	0.590364	0.100795	0.881339	0.522133	0.231368	0.901090	0.864470	0.855327	0.459372	0.993782	0.808771	0.367749	0.567566	0.350480	0.959859	0.385491	0.538559	0.060166	0.600228	0.688497	0.550092	0.353915	0.428720	0.890814	0.109324	0.639309	0.285844	0.790676	0.370778	0.818875	0.455731	0.410665	0.426284	0.486962	0.905426	0.104619	0.507169	0.982479	0.940325	0.705587	0.005689	0.752046	0.543101	0.039836	0.949384	0.868925	0.949930	0.732691	0.611765	0.838281	0.491051	0.066565	0.665507	0.750087	0.417652	0.387762	0.756826	0.007252	0.877921	0.117307	0.147293	0.369418	0.398822	0.679889	0.060983	0.676666	0.472396	0.348999	0.950752	0.479631	0.570482	0.361655	0.373144	0.841174
